course_code,course_title,u,has_asterisk
EEE F241,Microprocessors and interfacing,4,No
EEE F242,Control Systems,3,No
EEE F243,Signals & Systems,3,No
EEE F244,Microelectronic Circuits,3,No
EEE F311,Communication Systems,4,No
EEE F312,Power Systems,3,No
EEE F313,Analog & Digital VLSI Design,3,No
EEE F341,Analog Electronics,4,No
EEE F342,Power Electronics,4,No
MATH F212,Optimization,3,No
ME F344,Engineering Optimization,2,No
CS F451,Combinatorial Mathematics,3,No
CS G553,Reconfigurable Computing,5,No
ECE F312,EM Fields and Microwave Engineering Laboratory,011,No
ECE F314,EM Fields and Microwave Engineering,3,No
ECE F343,Communication Networks,3,No
EEE F216,Electronic Devices Simulation Laboratory,2,No
EEE F245,Control System Laboratory,1,No
EEE F246,Electrical and Electronic Circuits Laboratory,2,No
EEE F345,Power Apparatus & Networks,3,No
EEE F346,Data Communication Networks,2,No
EEE F348,FPGA Based System Design Laboratory,2,No
EEE F411,Internet of Things,4,No
EEE F414,Telecommunication Switching Systems & Networks,3,No
EEE F416,Digital Communication,3,No
EEE F417,Computer Based Control System,3,No
EEE F418,Modern Communication Technologies,3,No
EEE F419,Flexible and Stretchable Electronics,4,No
EEE F420,Biomedical Signal Processing,4,No
EEE F422,Modern Control Systems,3,No
ECE F344,Information Theory & Coding,3,No
ECE F434,Digital Signal Processing,4,No
ECE F424,Smart Grid for Sustainable Energy,3,No
ECE F428,Energy Storage Systems,3,No
ECE F431,Mobile Telecommunication Networks,3,No
ECE F472,Satellite Communication,3,No
EEE F426,Fiber Optics & Optoelectronics,3,No
EEE F429,Smart Materials and Applications,4,No
EEE F430,Green Communications and Networks,3,No
EEE F432,Medical Instrumentation,3,No
EEE F435,Digital Image Processing,30,No
EEE F436,Electromagnetic Compatibility,4,No
EEE F437,Semiconductor Fabrication Technology,4,No
EEE F424,Smart Grid for Sustainable Energy,3,No
EEE F425,Power System Analysis and control,3,No
EEE F427,Electric Power Utilization and Illumination,3,No
EEE F428,Energy Storage Systems,3,No
EEE F431,Mobile Telecommunication Networks,3,No
EEE F433,Electromagnetic Fields & Waves,3,No
EEE F434,Digital Signal Processing,4,No
EEE F462,Advanced Power Systems,3,No
EEE F472,Satellite Communication,3,No
EEE F473,Wind Electrical Systems,3,No
EEE F474,Antenna Theory and Design,4,No
EEE F475,Special Electrical Machines,4,No
EEE F476,Switchgear and Protection,4,No
EEE F477,Modelling of Field-Effect NanoDevices,3,No
EEE F478,Power Systems Laboratory,022,No
EEE G512,Embedded System Design,4,No
EEE G513,Machine Learning for Electronics Engineers,4*,Yes
EEE G626,Hardware Software Co-Design,4,No
ECE F211,Electrical Machines,4,No
ECE F212,Electromagnetic Theory,3,No
ECE F214,Electronic Devices,3,No
ECE F215,Digital Design,4,No
ECE F241,Microprocessors and interfacing,4,No
ECE F242,Control Systems,3,No
ECE F243,Signals & Systems,3,No
ECE F244,Microelectronic Circuits,3,No
ECE F311,Communication Systems,4,No
ECE F314,Electromagnetic Fields & Microwave Engineering,3,No
ECE F341,Analog Electronics,4,No
INSTR F412,Analysis Instrumentation,3,No
ECOM F211,Data Structures and Algorithms,4,No
ECOM F213,Object Oriented Programming,4,No
ECOM F214,Electronic Devices,3,No
ECOM F215,Digital Design,4,No
ECOM F222,Discrete Structures for Computer Science,3,No
ECOM F241,Microprocessors and Interfacing,4,No
ECOM F242,Control Systems,3,No
ECOM F243,Signals & Systems,3,No
ECOM F244,Microelectronic Circuits,3,No
ECOM F313,Analog & Digital VLSI Design,3,No
ECOM F321,Real Time Operating Systems,4,No
ECOM F342,Computer Architecture,4,No
ECOM F343,Communication Networks,3,No
ECOM F462,Network Programming,3,No
BITS F327,Artificial Intelligence for Robotics,3,No
MEL G621,VLSI Design,5,No
BITS F441,Robotics,3,No
INSTR F211,Electrical Machines,4,No
INSTR F212,Electromagnetic Theory,3,No
INSTR F214,Electronic Devices,3,No
INSTR F215,Digital Design,4,No
INSTR F241,Microprocessors and interfacing,3,No
